jax,pytorch,type,remark,jax 不支持精度,torch 不支持精度
jax.lax.abs,torch.ops.aten.abs.default,elementwise,绝对值,,
jax.lax.acos,torch.ops.aten.acos.default,elementwise,反余弦,,FP8_E4M3、FP8_E5M2
jax.lax.acosh,torch.ops.aten.acosh.default,elementwise,反双曲余弦,,FP8_E4M3、FP8_E5M2
jax.lax.add,torch.ops.aten.add.Tensor,elementwise,加法,,FP8_E4M3、FP8_E5M2
jax.lax.asin,torch.ops.aten.asin.default,elementwise,反正弦,,FP8_E4M3、FP8_E5M2
jax.lax.asinh,torch.ops.aten.asinh.default,elementwise,反双曲正弦,,FP8_E4M3、FP8_E5M2
jax.lax.atan,torch.ops.aten.atan.default,elementwise,反正切,,FP8_E4M3、FP8_E5M2
jax.lax.atan2,torch.ops.aten.atan2.default,elementwise,双参数反正切,,FP8_E4M3、FP8_E5M2
jax.lax.atanh,torch.ops.aten.atanh.default,elementwise,反双曲正切,,FP8_E4M3、FP8_E5M2
jax.lax.bessel_i0e,torch.ops.aten.special_i0e.default,elementwise,第一类修正贝塞尔函数 I0e,,FP8_E4M3、FP8_E5M2
jax.lax.bessel_i1e,torch.ops.aten.special_i1e.default,elementwise,第一类修正贝塞尔函数 I1e,FP8_E4M3、FP8_E5M2,FP8_E4M3、FP8_E5M2
jax.lax.ceil,torch.ops.aten.ceil.default,elementwise,向上取整,,FP8_E4M3、FP8_E5M2
jax.lax.clamp,torch.ops.aten.clamp.default,elementwise,区间截断,,FP8_E4M3、FP8_E5M2
jax.lax.complex,torch.ops.aten.complex.default,elementwise,复数构造,BF16、FP8_E4M3、FP8_E5M2,BF16、FP8_E4M3、FP8_E5M2
jax.lax.conj,torch.ops.aten.conj.default,elementwise,复共轭,BF16、FP8_E4M3、FP8_E5M2,
jax.lax.cos,torch.ops.aten.cos.default,elementwise,余弦,,FP8_E4M3、FP8_E5M2
jax.lax.cosh,torch.ops.aten.cosh.default,elementwise,双曲余弦,,FP8_E4M3、FP8_E5M2
jax.lax.digamma,torch.ops.aten.digamma.default,elementwise,双伽玛函数,,FP8_E4M3、FP8_E5M2
jax.lax.div,torch.ops.aten.div.Tensor,elementwise,除法,,FP8_E4M3、FP8_E5M2
jax.lax.eq,torch.ops.aten.eq.Tensor,elementwise,等于比较,,
jax.lax.erf,torch.ops.aten.erf.default,elementwise,误差函数,,FP8_E4M3、FP8_E5M2
jax.lax.erf_inv,torch.ops.aten.erfinv.default,elementwise,误差函数反函数,,FP8_E4M3、FP8_E5M2
