jax,pytorch,type,remark,reason
jax.lax.cbrt,"torch.pow(x,1/3)",elementwise,立方根,可间接替代
jax.lax.clz,None,elementwise,前导零计数,
jax.lax.igamma_grad_a,None,elementwise,igamma 对参数 a 的梯度,
jax.lax.population_count,None,elementwise,置位计数,
jax.lax.reduce_precision,None,elementwise,降低数值精度,
jax.lax.shift_right_logical,None,elementwise,按位逻辑右移,
jax.lax.reduce,None,reduction,归约,
jax.lax.reduce_window,None,reduction,窗口归约,
jax.lax.reduce_window_shape_tuple,None,reduction,窗口归约形状辅助函数,
jax.lax.reduce_xor,None,reduction,逻辑异或归约,
jax.lax.cholesky_update,None,linalg,Cholesky 更新,
jax.lax.eigh_jacobi,None,linalg,Jacobi 特征分解,
jax.lax.hessenberg,None,linalg,Hessenberg 分解,
jax.lax.lu_pivots_to_permutation,None,linalg,LU 主元转置换,
jax.lax.qdwh,None,linalg,QDWH 极分解,
jax.lax.schur,None,linalg,Schur 分解,
jax.lax.symmetric_product,None,linalg,对称乘积,
jax.lax.tridiagonal,None,linalg,三对角矩阵构造,
jax.lax.tridiagonal_solve,None,linalg,三对角线性系统求解,
jax.lax.broadcast_to_rank,None,array,广播到指定秩,
jax.lax.broadcasted_iota,None,array,广播的 iota 序列,
jax.lax.dynamic_slice,None,array,动态切片,
jax.lax.dynamic_update_index_in_dim,None,array,动态单维索引更新,
jax.lax.dynamic_update_slice,None,array,动态切片更新,
jax.lax.dynamic_update_slice_in_dim,None,array,动态单维切片更新,
jax.lax.slice,None,array,切片,
jax.lax.after_all,None,other,控制依赖/同步,
jax.lax.all_gather,None,other,Parallel operators,
jax.lax.all_to_all,None,other,Parallel operators,
jax.lax.associative_scan,None,other,关联扫描,
jax.lax.axis_index,None,other,Parallel operators,
jax.lax.axis_size,None,other,Parallel operators,
jax.lax.composite,None,other,组合 primitive,
jax.lax.cond,None,other,Control flow operators,
jax.lax.conv_dimension_numbers,None,other,卷积维度编号,
jax.lax.conv_general_dilated_local,None,other,局部空洞卷积,
jax.lax.conv_general_permutations,None,other,卷积通用置换辅助函数,
jax.lax.conv_general_shape_tuple,None,other,卷积输出形状辅助函数,
jax.lax.conv_shape_tuple,None,other,卷积形状辅助函数,
jax.lax.conv_transpose_shape_tuple,None,other,转置卷积形状辅助函数,
jax.lax.custom_linear_solve,None,other,自定义线性求解规则,
jax.lax.custom_root,None,other,自定义求根规则,
jax.lax.dce_sink,None,other,禁止 DCE 的 sink,
jax.lax.fori_loop,None,other,for 循环 primitive,
jax.lax.map,None,other,map 控制流 primitive,
jax.lax.optimization_barrier,None,other,优化屏障,
jax.lax.pcast,None,other,并行轴 cast,
jax.lax.platform_dependent,None,other,平台相关,
jax.lax.pmax,None,other,Parallel operators,
jax.lax.pmean,None,other,Parallel operators,
jax.lax.pmin,None,other,Parallel operators,
jax.lax.ppermute,None,other,并行置换通信,
jax.lax.precv,None,other,Parallel operators,
jax.lax.psend,None,other,Parallel operators,
jax.lax.pshuffle,None,other,并行 shuffle,
jax.lax.psum,None,other,Parallel operators,
jax.lax.psum_scatter,None,other,Parallel operators,
jax.lax.pswapaxes,None,other,并行交换轴,
jax.lax.pvary,None,other,并行 varying cast（已弃用）,
jax.lax.ragged_all_to_all,None,other,不规则 all-to-all 交换,
jax.lax.ragged_dot,None,other,不规则点积,
jax.lax.ragged_dot_general,None,other,不规则通用点积,
jax.lax.rng_bit_generator,None,other,位随机数生成器,
jax.lax.scaled_dot,None,other,缩放点积,
jax.lax.scan,None,other,scan 控制流 primitive,
jax.lax.scatter_apply,None,other,散射应用,
jax.lax.scatter_sub,None,other,散射减,
jax.lax.select,None,other,Control flow operators,
jax.lax.select_and_gather_add,None,other,select-and-gather-add 复合算子,
jax.lax.select_and_scatter_add,None,other,select-and-scatter-add 复合算子,
jax.lax.select_and_scatter_p,None,other,select-and-scatter primitive,
jax.lax.select_n,None,other,多分支选择,
jax.lax.sort_key_val,None,other,按 key/value 联合排序,
jax.lax.stop_gradient,None,other,Custom gradient operators,
jax.lax.switch,None,other,多分支控制流 primitive,
jax.lax.while_loop,None,other,while 循环 primitive,
jax.lax.with_sharding_constraint,None,other,分片约束,


jax.lax.rng_uniform,None,other,均匀随机数,不同设备、框架使用伪随机数生成算法
jax.lax.getattr,getattr,other,属性读取,
jax.lax.pbroadcast,torch.distributed.broadcast,other,跨设备广播,
jax.lax.dtype,x.dtype,other,获取 dtype,
jax.lax.gather,torch.ops.aten.gather.default,other,收集/索引,
jax.lax.scatter,torch.ops.aten.scatter_.src,other,散射写入,
jax.lax.scatter_add,torch.ops.aten.scatter_add_.default,other,散射加,
jax.lax.scatter_max,torch.ops.aten.scatter_reduce_.two,other,散射最大,
jax.lax.scatter_min,torch.ops.aten.scatter_reduce_.two,other,散射最小,
jax.lax.scatter_mul,torch.ops.aten.scatter_reduce_.two,other,散射乘,
jax.lax.create_token,torch.ops.aten._make_dep_token,other,创建依赖 token（内部接口）,
